Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
49C,0200,49C,0000,000,0000,000,0000,0000,004,0100
49C,0200,49D,0200,49C,0200,000,049C,0000,004,0100
49D,EE19,49E,EE19,4B7,0000,000,0019,0000,004,0100,4B7,0000
49E,AE17,49F,AE17,4B6,0000,000,0017,0000,004,0100
49F,0740,4A0,0740,49F,0740,000,049F,FFFF,008,1000
4A0,0C00,4A1,0C00,7FF,FFFF,7FF,04A0,FFFF,008,1000,7FF,FFFF
4A1,D668,668,D668,7FE,04A2,7FE,D668,FFFF,008,1000,7FE,04A2
668,AC01,669,AC01,7FF,FFFF,7FE,0001,FFFF,008,1000
669,F001,66A,F001,669,F001,7FE,0669,FFFF,008,1000
66A,F304,66B,F304,66A,F304,7FE,066A,FFFF,008,1000
66B,6E0B,66C,6E0B,677,00F8,7FE,000B,FF07,009,1001
66C,F201,66E,F201,66C,F201,7FE,0001,FF07,009,1001
66E,4E08,66F,4E08,677,00F8,7FE,0008,FFFF,008,1000
66F,0500,670,0500,66F,FFFF,7FE,066F,FFFE,009,1001
670,6C01,671,6C01,7FF,FFFF,7FE,0001,FFFF,008,1000
671,4E05,672,4E05,677,00F8,7FE,0005,00F7,001,0001
672,CE01,674,CE01,672,0674,7FE,0001,00F7,001,0001
674,EC01,675,EC01,7FF,00F7,7FE,0001,00F7,001,0001,7FF,00F7
675,0A00,4A2,0A00,7FE,04A2,7FF,0675,00F7,001,0001
4A2,0800,4A3,0800,7FF,00F7,000,04A2,00F7,001,0001
4A3,0740,4A4,0740,4A3,0740,000,04A3,00F6,001,0001
4A4,6E12,4A5,6E12,4B7,0000,000,0012,00F6,001,0001
4A5,EE11,4A6,EE11,4B7,00F6,000,0011,00F6,001,0001,4B7,00F6
4A6,AE0E,4A7,AE0E,4B5,0000,000,000E,0000,005,0101
4A7,0700,4A8,0700,4A7,0700,000,04A7,0001,000,0000
4A8,0C00,4A9,0C00,7FF,0001,7FF,04A8,0001,000,0000,7FF,0001
4A9,D668,668,D668,7FE,04AA,7FE,D668,0001,000,0000,7FE,04AA
668,AC01,669,AC01,7FF,0001,7FE,0001,0001,000,0000
669,F001,66A,F001,669,F001,7FE,0669,0001,000,0000
66A,F304,66F,F304,66A,F304,7FE,0004,0001,000,0000
66F,0500,670,0500,66F,0001,7FE,066F,0002,000,0000
670,6C01,671,6C01,7FF,0001,7FE,0001,0001,001,0001
671,4E05,672,4E05,677,00F8,7FE,0005,00F9,000,0000
672,CE01,674,CE01,672,0674,7FE,0001,00F9,000,0000
674,EC01,675,EC01,7FF,00F9,7FE,0001,00F9,000,0000,7FF,00F9
675,0A00,4AA,0A00,7FE,04AA,7FF,0675,00F9,000,0000
4AA,0800,4AB,0800,7FF,00F9,000,04AA,00F9,000,0000
4AB,6E0B,4AC,6E0B,4B7,00F6,000,000B,0003,001,0001
4AC,EE0A,4AD,EE0A,4B7,0003,000,000A,0003,001,0001,4B7,0003
4AD,AE06,4AE,AE06,4B4,0000,000,0006,0000,005,0101
4AE,0C00,4AF,0C00,7FF,0000,7FF,04AE,0000,005,0101,7FF,0000
4AF,D668,668,D668,7FE,04B0,7FE,D668,0000,005,0101,7FE,04B0
668,AC01,669,AC01,7FF,0000,7FE,0001,0000,005,0101
669,F001,66B,F001,669,F001,7FE,0001,0000,005,0101
66B,6E0B,66C,6E0B,677,00F8,7FE,000B,FF08,008,1000
66C,F201,66E,F201,66C,F201,7FE,0001,FF08,008,1000
66E,4E08,66F,4E08,677,00F8,7FE,0008,0000,005,0101
66F,0500,670,0500,66F,0000,7FE,066F,0000,004,0100
670,6C01,671,6C01,7FF,0000,7FE,0001,0000,005,0101
671,4E05,672,4E05,677,00F8,7FE,0005,00F8,000,0000
672,CE01,674,CE01,672,0674,7FE,0001,00F8,000,0000
674,EC01,675,EC01,7FF,00F8,7FE,0001,00F8,000,0000,7FF,00F8
675,0A00,4B0,0A00,7FE,04B0,7FF,0675,00F8,000,0000
4B0,0800,4B1,0800,7FF,00F8,000,04B0,00F8,000,0000
4B1,4E05,4B2,4E05,4B7,0003,000,0005,00FB,000,0000
4B2,EE04,4B3,EE04,4B7,00FB,000,0004,00FB,000,0000,4B7,00FB
4B3,0100,4B4,0100,4B3,0100,000,04B3,00FB,000,0000
